rn2kb1r/pp3ppp/1q2pn2/2p5/3pP3/N2P1Q1P/PPPB1PP1/2KR1B1R b kq - 1 10,0.9,0.05,-0.05,-0.42,0.31,0.0,-0.3,0.0,b8c6,0.43,0.05,-0.23,-0.52,-0.03,0.0,-0.3,0.0,b6c7,0.89,0.05,-0.08,-0.25,0.4,0.0,-0.3,0.0
r3kb1r/pp3ppp/1qn1pn2/2p5/3pP3/N2P2QP/PPPB1PP1/2KR1B1R b kq - 3 11,0.4,0.05,-0.08,-0.5,0.16,0.0,-0.18,0.0,b6a6,0.44,0.05,0.06,-0.51,0.15,0.0,-0.18,0.0,a8d8,0.27,0.05,-0.12,-0.51,-0.16,0.0,-0.18,0.0
r3kb1r/pp3ppp/q1n1pn2/2p5/2PpP3/N2P2QP/PP1B1PP1/2KR1B1R b kq c3 0 12,0.42,0.05,0.17,-0.78,0.15,0.0,-0.15,0.0,d4c3,-0.17,-0.17,0.13,-2.0,0.54,-0.72,-0.06,0.0,d4c3,-0.17,-0.17,0.13,-2.0,0.54,-0.72,-0.06,0.0
r3kb1r/pp3ppp/q1n1pn2/2p5/4P3/N1BP2QP/PP3PP1/2KR1B1R b kq - 0 13,0.36,0.09,0.07,-0.78,0.42,0.0,0.07,0.0,c6d4,0.14,0.09,0.08,-1.11,0.15,0.0,0.03,0.0,b7b5,0.48,0.09,-0.02,-0.87,-0.02,0.0,0.03,0.0
r3kb1r/pp3ppp/q3pn2/2p5/3nP3/N1BP2QP/PP3PP1/1K1R1B1R b kq - 2 14,0.41,0.09,0.05,-0.66,0.15,0.0,0.03,0.0,a8d8,0.28,0.09,-0.04,-0.71,0.15,0.0,0.03,0.0,h7h5,0.42,0.09,-0.02,-0.56,0.2,0.0,0.03,0.0
3rkb1r/pp3ppp/q3pn2/2p5/3BP3/N2P2QP/PP3PP1/1K1R1B1R b k - 0 15,2.0,0.75,0.02,-0.49,-1.14,0.0,0.13,0.0,d8d4,0.3,0.0,-0.16,-0.42,-0.47,0.0,0.06,0.0,d8d4,0.3,0.0,-0.16,-0.42,-0.47,0.0,0.06,0.0
4kb1r/pp3ppp/q3pn2/2p5/3rP3/3P2QP/PPN2PP1/1K1R1B1R b k - 1 16,0.47,0.0,-0.15,-0.5,-0.14,0.0,0.06,0.0,d4d8,0.5,0.0,-0.2,-0.73,-0.5,0.0,0.06,0.0,d4d7,0.45,0.0,-0.15,-0.42,-0.5,0.0,0.06,0.0
3rkb1r/pp3ppp/q3pn2/2p5/3PP3/6QP/PPN2PP1/1K1R1B1R b k - 0 17,0.53,0.0,0.09,-0.58,0.09,0.0,0.09,0.0,a6b6,0.49,0.0,0.15,-0.57,-0.68,0.0,0.15,0.0,c5c4,0.62,0.0,0.11,-0.91,-0.33,-0.03,0.09,0.0
3rkb1r/pp3ppp/1q2pn2/2pP4/4P3/6QP/PPN2PP1/1K1R1B1R b k - 0 18,0.39,0.0,0.13,-0.5,-0.63,0.32,0.18,0.0,f6e4,-0.62,-0.17,-0.0,-1.21,-0.61,0.32,-0.0,0.0,f8e7,0.34,0.0,0.02,-0.51,-0.07,0.32,0.18,0.0
3rkb1r/pp3ppp/1q2p3/2pP4/4n3/4Q2P/PPN2PP1/1K1R1B1R b k - 1 19,-0.62,-0.17,-0.04,-1.25,0.42,0.32,-0.03,0.0,e6d5,-1.17,-0.32,0.29,-0.64,-0.15,0.03,-0.24,0.0,f7f5,-0.61,-0.17,-0.04,-0.81,0.16,0.32,-0.12,0.0
3rkb1r/pp3ppp/1q6/2pp4/4n3/4QP1P/PPN3P1/1K1R1B1R b k - 0 20,-1.15,-0.32,0.29,-0.64,0.48,0.03,-0.22,0.0,f8e7,-1.21,-0.32,-0.29,-1.42,0.23,0.03,-0.24,0.0,f8e7,-1.21,-0.32,-0.29,-1.42,0.23,0.03,-0.24,0.0
3rk2r/pp2bppp/1q6/2pp4/4P3/4Q2P/PPN3P1/1K1R1B1R b k - 0 21,2.0,0.34,-0.11,-0.6,-0.42,0.03,-0.08,0.0,d5d4,2.0,0.34,-0.16,-0.74,-0.93,-0.32,-0.12,0.0,d5d4,2.0,0.34,-0.16,-0.74,-0.93,-0.32,-0.12,0.0
